PhysicalActivity5OrMoreDays,SadOrHopeless,Activity_Group
8.0,1.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
4.0,2.0,1-3 days
8.0,2.0,4+ days
4.0,1.0,1-3 days
3.0,2.0,1-3 days
5.0,2.0,4+ days
6.0,1.0,4+ days
3.0,1.0,1-3 days
2.0,2.0,1-3 days
4.0,1.0,1-3 days
5.0,1.0,4+ days
7.0,2.0,4+ days
1.0,2.0,0 days
2.0,1.0,1-3 days
3.0,2.0,1-3 days
1.0,1.0,0 days
6.0,2.0,4+ days
8.0,1.0,4+ days
1.0,2.0,0 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
2.0,1.0,1-3 days
6.0,2.0,4+ days
8.0,1.0,4+ days
4.0,2.0,1-3 days
4.0,1.0,1-3 days
1.0,1.0,0 days
4.0,2.0,1-3 days
7.0,2.0,4+ days
8.0,2.0,4+ days
4.0,2.0,1-3 days
6.0,2.0,4+ days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
1.0,1.0,0 days
8.0,2.0,4+ days
5.0,1.0,4+ days
6.0,2.0,4+ days
5.0,2.0,4+ days
5.0,2.0,4+ days
3.0,2.0,1-3 days
2.0,1.0,1-3 days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
4.0,2.0,1-3 days
3.0,2.0,1-3 days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
6.0,2.0,4+ days
7.0,2.0,4+ days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
1.0,1.0,0 days
8.0,2.0,4+ days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
6.0,2.0,4+ days
1.0,1.0,0 days
8.0,1.0,4+ days
3.0,2.0,1-3 days
1.0,2.0,0 days
3.0,1.0,1-3 days
4.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
5.0,1.0,4+ days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
3.0,2.0,1-3 days
1.0,1.0,0 days
2.0,1.0,1-3 days
1.0,1.0,0 days
3.0,2.0,1-3 days
1.0,2.0,0 days
2.0,1.0,1-3 days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
2.0,1.0,1-3 days
7.0,1.0,4+ days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
2.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
2.0,2.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
4.0,1.0,1-3 days
1.0,1.0,0 days
5.0,2.0,4+ days
4.0,1.0,1-3 days
1.0,1.0,0 days
4.0,1.0,1-3 days
3.0,2.0,1-3 days
7.0,1.0,4+ days
3.0,2.0,1-3 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
2.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
2.0,1.0,1-3 days
3.0,2.0,1-3 days
5.0,1.0,4+ days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
2.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
2.0,1.0,1-3 days
3.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
1.0,1.0,0 days
2.0,1.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
3.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
3.0,2.0,1-3 days
3.0,2.0,1-3 days
8.0,2.0,4+ days
8.0,1.0,4+ days
4.0,2.0,1-3 days
2.0,1.0,1-3 days
2.0,1.0,1-3 days
1.0,1.0,0 days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
3.0,1.0,1-3 days
5.0,1.0,4+ days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
6.0,2.0,4+ days
1.0,2.0,0 days
6.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
7.0,1.0,4+ days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
8.0,1.0,4+ days
1.0,1.0,0 days
8.0,1.0,4+ days
1.0,2.0,0 days
4.0,2.0,1-3 days
8.0,2.0,4+ days
4.0,2.0,1-3 days
4.0,2.0,1-3 days
7.0,2.0,4+ days
1.0,2.0,0 days
3.0,2.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
3.0,1.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
3.0,2.0,1-3 days
7.0,1.0,4+ days
1.0,2.0,0 days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
1.0,2.0,0 days
4.0,1.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
3.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
8.0,2.0,4+ days
6.0,2.0,4+ days
4.0,2.0,1-3 days
1.0,1.0,0 days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
3.0,1.0,1-3 days
3.0,2.0,1-3 days
8.0,1.0,4+ days
8.0,2.0,4+ days
5.0,1.0,4+ days
8.0,1.0,4+ days
1.0,2.0,0 days
3.0,2.0,1-3 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
7.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
3.0,2.0,1-3 days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
4.0,2.0,1-3 days
1.0,1.0,0 days
4.0,2.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
6.0,2.0,4+ days
2.0,2.0,1-3 days
8.0,2.0,4+ days
8.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
6.0,2.0,4+ days
8.0,2.0,4+ days
6.0,2.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
6.0,1.0,4+ days
8.0,2.0,4+ days
2.0,2.0,1-3 days
8.0,1.0,4+ days
4.0,1.0,1-3 days
1.0,2.0,0 days
8.0,1.0,4+ days
8.0,1.0,4+ days
2.0,2.0,1-3 days
7.0,2.0,4+ days
1.0,1.0,0 days
8.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
4.0,1.0,1-3 days
3.0,2.0,1-3 days
6.0,2.0,4+ days
6.0,1.0,4+ days
2.0,2.0,1-3 days
5.0,1.0,4+ days
1.0,2.0,0 days
5.0,2.0,4+ days
6.0,1.0,4+ days
2.0,1.0,1-3 days
1.0,2.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
6.0,2.0,4+ days
5.0,1.0,4+ days
5.0,2.0,4+ days
7.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
8.0,1.0,4+ days
8.0,2.0,4+ days
5.0,2.0,4+ days
5.0,2.0,4+ days
7.0,2.0,4+ days
5.0,2.0,4+ days
5.0,1.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
4.0,1.0,1-3 days
3.0,1.0,1-3 days
1.0,2.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
6.0,2.0,4+ days
1.0,1.0,0 days
6.0,2.0,4+ days
6.0,1.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
6.0,1.0,4+ days
3.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
4.0,1.0,1-3 days
1.0,2.0,0 days
4.0,2.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
1.0,1.0,0 days
7.0,1.0,4+ days
8.0,1.0,4+ days
1.0,2.0,0 days
2.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
4.0,1.0,1-3 days
1.0,1.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
5.0,2.0,4+ days
5.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
8.0,1.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
2.0,2.0,1-3 days
1.0,2.0,0 days
3.0,2.0,1-3 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
8.0,2.0,4+ days
6.0,2.0,4+ days
7.0,1.0,4+ days
8.0,2.0,4+ days
1.0,2.0,0 days
4.0,2.0,1-3 days
8.0,2.0,4+ days
5.0,2.0,4+ days
1.0,2.0,0 days
4.0,2.0,1-3 days
5.0,2.0,4+ days
8.0,2.0,4+ days
6.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
4.0,2.0,1-3 days
6.0,1.0,4+ days
5.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
3.0,2.0,1-3 days
8.0,2.0,4+ days
7.0,2.0,4+ days
6.0,2.0,4+ days
3.0,2.0,1-3 days
1.0,2.0,0 days
3.0,2.0,1-3 days
6.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
2.0,1.0,1-3 days
1.0,1.0,0 days
7.0,1.0,4+ days
4.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
8.0,2.0,4+ days
1.0,2.0,0 days
6.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
5.0,1.0,4+ days
7.0,2.0,4+ days
1.0,2.0,0 days
2.0,1.0,1-3 days
1.0,2.0,0 days
5.0,2.0,4+ days
1.0,2.0,0 days
4.0,1.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
3.0,1.0,1-3 days
4.0,2.0,1-3 days
4.0,1.0,1-3 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
5.0,2.0,4+ days
6.0,2.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
5.0,2.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
4.0,2.0,1-3 days
1.0,2.0,0 days
4.0,1.0,1-3 days
6.0,2.0,4+ days
3.0,2.0,1-3 days
6.0,2.0,4+ days
3.0,2.0,1-3 days
4.0,2.0,1-3 days
5.0,2.0,4+ days
2.0,2.0,1-3 days
4.0,2.0,1-3 days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
1.0,1.0,0 days
2.0,2.0,1-3 days
3.0,1.0,1-3 days
2.0,1.0,1-3 days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,2.0,0 days
5.0,2.0,4+ days
5.0,1.0,4+ days
8.0,1.0,4+ days
2.0,2.0,1-3 days
1.0,2.0,0 days
6.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
5.0,2.0,4+ days
5.0,1.0,4+ days
1.0,2.0,0 days
6.0,2.0,4+ days
6.0,2.0,4+ days
1.0,2.0,0 days
7.0,2.0,4+ days
5.0,1.0,4+ days
2.0,2.0,1-3 days
8.0,2.0,4+ days
6.0,1.0,4+ days
3.0,2.0,1-3 days
1.0,2.0,0 days
6.0,2.0,4+ days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
1.0,1.0,0 days
3.0,1.0,1-3 days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
8.0,2.0,4+ days
8.0,2.0,4+ days
2.0,2.0,1-3 days
1.0,1.0,0 days
4.0,2.0,1-3 days
1.0,2.0,0 days
5.0,2.0,4+ days
2.0,1.0,1-3 days
4.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
5.0,1.0,4+ days
5.0,2.0,4+ days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
4.0,2.0,1-3 days
3.0,2.0,1-3 days
7.0,2.0,4+ days
8.0,2.0,4+ days
1.0,2.0,0 days
3.0,1.0,1-3 days
6.0,2.0,4+ days
3.0,2.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
8.0,1.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
8.0,1.0,4+ days
1.0,1.0,0 days
3.0,1.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
3.0,2.0,1-3 days
2.0,2.0,1-3 days
4.0,1.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
5.0,1.0,4+ days
3.0,1.0,1-3 days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
1.0,2.0,0 days
2.0,1.0,1-3 days
5.0,2.0,4+ days
2.0,2.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
6.0,1.0,4+ days
3.0,1.0,1-3 days
5.0,1.0,4+ days
7.0,2.0,4+ days
2.0,2.0,1-3 days
8.0,1.0,4+ days
3.0,1.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
6.0,2.0,4+ days
8.0,1.0,4+ days
4.0,2.0,1-3 days
8.0,2.0,4+ days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
5.0,2.0,4+ days
5.0,2.0,4+ days
1.0,2.0,0 days
2.0,2.0,1-3 days
2.0,1.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
6.0,1.0,4+ days
8.0,1.0,4+ days
1.0,1.0,0 days
1.0,1.0,0 days
3.0,2.0,1-3 days
2.0,1.0,1-3 days
1.0,1.0,0 days
2.0,1.0,1-3 days
8.0,2.0,4+ days
5.0,2.0,4+ days
3.0,2.0,1-3 days
6.0,1.0,4+ days
6.0,2.0,4+ days
7.0,1.0,4+ days
5.0,1.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
3.0,1.0,1-3 days
3.0,2.0,1-3 days
1.0,2.0,0 days
3.0,2.0,1-3 days
1.0,2.0,0 days
8.0,2.0,4+ days
8.0,2.0,4+ days
6.0,1.0,4+ days
3.0,2.0,1-3 days
6.0,2.0,4+ days
3.0,1.0,1-3 days
4.0,2.0,1-3 days
6.0,2.0,4+ days
3.0,2.0,1-3 days
8.0,1.0,4+ days
8.0,2.0,4+ days
1.0,2.0,0 days
2.0,1.0,1-3 days
6.0,2.0,4+ days
1.0,2.0,0 days
6.0,1.0,4+ days
8.0,2.0,4+ days
1.0,1.0,0 days
1.0,1.0,0 days
1.0,1.0,0 days
2.0,2.0,1-3 days
4.0,1.0,1-3 days
8.0,1.0,4+ days
2.0,1.0,1-3 days
6.0,2.0,4+ days
6.0,2.0,4+ days
3.0,2.0,1-3 days
2.0,1.0,1-3 days
6.0,1.0,4+ days
8.0,2.0,4+ days
5.0,2.0,4+ days
2.0,2.0,1-3 days
3.0,2.0,1-3 days
8.0,2.0,4+ days
1.0,2.0,0 days
3.0,1.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
8.0,1.0,4+ days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
7.0,2.0,4+ days
2.0,2.0,1-3 days
8.0,1.0,4+ days
4.0,1.0,1-3 days
5.0,1.0,4+ days
1.0,2.0,0 days
7.0,1.0,4+ days
4.0,2.0,1-3 days
8.0,2.0,4+ days
5.0,1.0,4+ days
3.0,2.0,1-3 days
2.0,1.0,1-3 days
8.0,1.0,4+ days
8.0,2.0,4+ days
7.0,1.0,4+ days
2.0,1.0,1-3 days
5.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
5.0,2.0,4+ days
1.0,1.0,0 days
3.0,2.0,1-3 days
8.0,1.0,4+ days
7.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
8.0,1.0,4+ days
7.0,1.0,4+ days
7.0,2.0,4+ days
3.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
4.0,1.0,1-3 days
2.0,1.0,1-3 days
1.0,2.0,0 days
4.0,1.0,1-3 days
1.0,2.0,0 days
6.0,1.0,4+ days
4.0,2.0,1-3 days
6.0,2.0,4+ days
8.0,2.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
2.0,2.0,1-3 days
8.0,2.0,4+ days
6.0,2.0,4+ days
6.0,2.0,4+ days
6.0,2.0,4+ days
4.0,1.0,1-3 days
2.0,1.0,1-3 days
7.0,2.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
3.0,2.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
2.0,1.0,1-3 days
6.0,2.0,4+ days
1.0,2.0,0 days
8.0,1.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
1.0,1.0,0 days
1.0,1.0,0 days
2.0,1.0,1-3 days
2.0,2.0,1-3 days
8.0,2.0,4+ days
2.0,2.0,1-3 days
1.0,2.0,0 days
3.0,2.0,1-3 days
7.0,1.0,4+ days
1.0,1.0,0 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
8.0,1.0,4+ days
4.0,2.0,1-3 days
1.0,2.0,0 days
7.0,1.0,4+ days
1.0,2.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
3.0,1.0,1-3 days
8.0,1.0,4+ days
4.0,2.0,1-3 days
5.0,2.0,4+ days
4.0,2.0,1-3 days
3.0,2.0,1-3 days
6.0,2.0,4+ days
1.0,2.0,0 days
4.0,1.0,1-3 days
7.0,1.0,4+ days
1.0,2.0,0 days
5.0,1.0,4+ days
1.0,1.0,0 days
2.0,2.0,1-3 days
1.0,2.0,0 days
1.0,1.0,0 days
6.0,2.0,4+ days
7.0,2.0,4+ days
4.0,1.0,1-3 days
6.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
1.0,2.0,0 days
8.0,2.0,4+ days
5.0,1.0,4+ days
3.0,2.0,1-3 days
4.0,2.0,1-3 days
1.0,2.0,0 days
4.0,1.0,1-3 days
2.0,2.0,1-3 days
1.0,2.0,0 days
4.0,2.0,1-3 days
4.0,2.0,1-3 days
6.0,2.0,4+ days
7.0,2.0,4+ days
8.0,1.0,4+ days
8.0,1.0,4+ days
6.0,2.0,4+ days
1.0,1.0,0 days
8.0,2.0,4+ days
7.0,2.0,4+ days
7.0,2.0,4+ days
8.0,2.0,4+ days
8.0,2.0,4+ days
1.0,1.0,0 days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
6.0,1.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,1.0,0 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
8.0,1.0,4+ days
1.0,2.0,0 days
3.0,1.0,1-3 days
2.0,2.0,1-3 days
1.0,1.0,0 days
1.0,2.0,0 days
1.0,2.0,0 days
8.0,2.0,4+ days
3.0,2.0,1-3 days
5.0,2.0,4+ days
1.0,2.0,0 days
4.0,2.0,1-3 days
2.0,2.0,1-3 days
4.0,1.0,1-3 days
8.0,2.0,4+ days
7.0,2.0,4+ days
6.0,2.0,4+ days
4.0,2.0,1-3 days
8.0,1.0,4+ days
1.0,1.0,0 days
1.0,2.0,0 days
6.0,2.0,4+ days
8.0,2.0,4+ days
4.0,1.0,1-3 days
1.0,2.0,0 days
6.0,1.0,4+ days
6.0,2.0,4+ days
2.0,2.0,1-3 days
1.0,2.0,0 days
1.0,2.0,0 days
4.0,1.0,1-3 days
7.0,1.0,4+ days
2.0,2.0,1-3 days
2.0,2.0,1-3 days
5.0,1.0,4+ days
1.0,2.0,0 days
1.0,1.0,0 days
7.0,2.0,4+ days
2.0,2.0,1-3 days
1.0,1.0,0 days
1.0,1.0,0 days
8.0,2.0,4+ days
2.0,2.0,1-3 days
5.0,1.0,4+ days
4.0,2.0,1-3 days
1.0,1.0,0 days
